rubronombre,n,nivel2,nivel1
"FABRICACIÓN DE CALZADO DE CUERO, EXCEPTO CALZADO DEPORTIVO Y ORTOPÉDICO",16,fabricacion,industria y deposito
CONSTRUCCIÓN DE OBRAS DE INGENIERÍA CIVIL N.C.P.,16,otro,otro
Venta al por mayor de tejidos,16,mayorista,industria y deposito
"Fabricación de calzado de tela y otros materiales (excluido de caucho vulcanizado o moldeado, de madera o de plásticos)",16,fabricacion,industria y deposito
"Fabricación de puertas, ventanas y estructuras de madera para la construcción. Carpintería de obras",16,fabricacion,industria y deposito
VENTA AL POR MAYOR DE CIGARRILLOS Y PRODUCTOS DE TABACO,16,mayorista,industria y deposito
"Bar con música, sin espectáculo público, instalado dentro del perímetro y tramos establecidos por el Artículo 142° de la presente.-",16,bar_restaurante,gastronomia
VENTA AL POR MAYOR DE MÁQUINAS - HERRAMIENTA DE USO GENERAL,15,mayorista,industria y deposito
Fraccionamiento y distribuidores al por mayor de gas licuado (incluye envasado de garrafas),15,mayorista,industria y deposito
ESCUELA DE YOGA TERAPIA,15,otro,otro
"Laminación y estirado. Laminadoras. Cortes, doblado y plegado de chapas /o aceros",15,otro,otro
"Fabricación de perfumes, cosméticos y otros productos de higiene y tocador",15,fabricacion,industria y deposito
VENTA AL POR MENOR DE ARTÍCULOS DE ÓPTICA Y ORTOPEDIA,15,optica,salud
RECTIFICACIÓN DE MOTORES,15,otro,otro
Fabricación de productos de caucho n.c.p.,15,fabricacion,industria y deposito
Fabricación de artículos confeccionados con materiales textiles. n.c.p. (excepto prendas de vestir),15,fabricacion,industria y deposito
"Alojamiento temporario de departamentos y casas con servicios y appart-hotel, por unidad, departamento y casa. Con un mínimo por cada uno de $ 47,50",15,turismo,servicios profesionales
"VENTA AL POR MAYOR DE ARTÍCULOS PARA PLOMERÍA, INSTALACIÓN DE GAS Y CALEFACCIÓN",15,mayorista,industria y deposito
"Elaboración de caramelos, golosinas y otros productos de confiterías n.c.p.",15,fabricacion,industria y deposito
Distribución y venta al por mayor de productos y subproductos de molinería,15,mayorista,industria y deposito
"SERVICIOS DE MUTUALES, EXCEPTO MUTUALES DE SALUD Y FINANCIERAS",15,otro,otro
"Servicio de organización integral de eventos y servicios conexos propios (catering, propalación, )",15,otro,otro
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE  MERCADERÍAS N.C.P.,14,mayorista,industria y deposito
Alquiler de computadoras y sus equipos y máquinas de oficina cálculo y contabilidad,14,otro,otro
VENTA AL POR MAYOR DE ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR EXCEPTO EQUIPOS DE AUDIO Y VIDEO,14,mayorista,industria y deposito
"IMPRESIÓN N.C.P., EXCEPTO DE DIARIOS Y REVISTAS     ",14,otro,otro
Venta al por mayor de chatarra,14,mayorista,industria y deposito
REPARACIÓN Y MANTENIMIENTO DE MAQUINARIA DE USO ESPECIAL N.C.P.,14,otro,otro
VENTA AL POR MAYOR DE UNIFORMES Y ROPA DE TRABAJO,14,mayorista,industria y deposito
"Fabricación de preparados para la limpieza, pulido y saneamiento",14,fabricacion,industria y deposito
Tintorería,14,lavanderia,servicios personales
SERVICIO DE MENSAJERÍA Y CADETERÍA,14,transporte,servicios profesionales
ENSAYOS Y ANÁLISIS TÉCNICOS,14,otro,otro
"VENTA AL POR MAYOR DE MANTELERÍA, ROPA DE CAMA Y ARTÍCULOS TEXTILES PARA EL HOGAR",14,mayorista,industria y deposito
VENTA AL POR MAYOR DE PRODUCTOS Y SUBPRODUCTOS DE MOLINERÍA N.C.P.,14,mayorista,industria y deposito
"VENTA AL POR MENOR DE LIBROS, REVISTAS Y SIMILARES USADOS",14,libreria,comercio general
Fraccionamiento y venta al por mayor de azúcar,14,mayorista,industria y deposito
Fábrica de bolsas de polietileno,14,otro,otro
VENTA AL POR MAYOR DE AZÚCAR,14,mayorista,industria y deposito
Escuela para discapacitados mentales y físicos,14,otro,otro
ACTIVIDADES DE CRÉDITO PARA FINANCIAR OTRAS ACTIVIDADES ECONÓMICAS,13,comercio_otros,comercio general
"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS N.C.P., DESPERDICIOS Y DESECHOS METÁLICOS",13,mayorista,industria y deposito
SERVICIOS DE INTERNACIÓN EXCEPTO INSTITUCIONES RELACIONADAS CON LA SALUD MENTAL,13,otro,otro
SERVICIOS DE ALQUILER DE CONSULTORIOS MÉDICOS,13,consultorio,salud
"Transporte de valores, documentación y similares",13,transporte,servicios profesionales
"Movimiento de suelos y preparación de terrenos para obras n.c.p. (Incluye el drenaje, remoción de rocas, excavación de zanjas para servicios públicos, alcantarillado urbano y para construcciones diversas, movimientos de tierras para hacer terraplenes o de",13,otro,otro
"SERVICIOS DE ATENCIÓN MÉDICA EN DISPENSARIOS, SALITAS, VACUNATORIOS Y OTROS LOCALES DE ATENCIÓN PRIMARIA DE LA SALUD",13,otro,otro
VENTA AL POR MAYOR DE BEBIDAS ESPIRITOSAS,13,mayorista,industria y deposito
VENTA AL POR MAYOR DE PRODUCTOS DE MADERA EXCEPTO MUEBLES,13,mayorista,industria y deposito
SERVICIOS DE CONSULTORES EN TECNOLOGÍA DE LA INFORMACIÓN,13,otro,otro
Fábrica industrial de helados,13,heladeria,gastronomia
FABRICACIÓN DE ENVASES PLÁSTICOS,13,fabricacion,industria y deposito
"Hostería categoría 2 y 1 estrellas. Con un mínimo por cada habitación de $ 14,50.-",13,turismo,servicios profesionales
"VENTA AL POR MENOR DE MADERAS Y ARTÍCULOS DE MADERA Y CORCHO, EXCEPTO MUEBLES",12,muebleria,hogar y construccion
"VENTA AL POR MAYOR DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS AUTOMOTORES",12,mayorista,industria y deposito
Venta al por mayor de mantelería y ropa de cama,12,mayorista,industria y deposito
Fabricación y reparación de máquinas y aparatos industriales eléctricos no clasificados en otra parte,12,fabricacion,industria y deposito
Venta al por mayor de vidrios planos y templados,12,mayorista,industria y deposito
"Venta al por mayor  de joyas, relojes y artículos conexos",12,mayorista,industria y deposito
Venta por mayor de semillas,12,mayorista,industria y deposito
Venta al por menor de productos de caucho n.c.p.,12,otro,otro
"Tostado, torrado y molienda de café",12,fabricacion,industria y deposito
Supermercado una superficie total superior a 2.001 m2,12,almacen,alimentos
SERVICIOS DE LOCUTORIOS,12,locutorio,servicios personales
"VENTA AL POR MAYOR DE ARTÍCULOS DE RELOJERÍA, JOYERÍA Y FANTASÍAS",12,mayorista,industria y deposito
"Fabricación de pinturas, barnices, lacas, esmaltes y productos similares y conexos (excepto tintas)",12,fabricacion,industria y deposito
"Hotel categoría 3 estrellas. Con un mínimo por cada habitación de $ 22,75",12,turismo,servicios profesionales
"Compañías Financieras, Caja de Créditos, Sociedades de Crédito para consumo comprendidas en la Ley de Entidades Financieras y autorizadas por el Banco Central de la República Argentina. Con un mínimo por persona que desarrolle actividad inherente al giro",12,cobranzas,servicios profesionales
VENTA AL POR MENOR DE COMBUSTIBLE n.c.p COMPRENDIDOS EN LEY 23966 PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS EXCEPTO LA REALIZADA POR REFINERIAS,12,venta_vehiculos,automotor
"Fabricación y reparación de maquinaria y equipo para trabajar los metales, incluyendo máquinas herramienta y máquinas para metalurgia",12,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE MUEBLES EXCEPTO DE OFICINA, ARTÍCULOS DE MIMBRE Y CORCHO, COLCHONES Y SOMIERES",12,mayorista,industria y deposito
Venta al por mayor de prendas de vestir de cuero (excepto calzado),12,mayorista,industria y deposito
VENTA AL POR MAYOR DE ENVASES DE PAPEL Y CARTÓN,12,mayorista,industria y deposito
Venta al por mayor de artículos para deportes y camping,12,mayorista,industria y deposito
VENTA AL POR MAYOR DE METALES Y MINERALES METALÍFEROS,12,mayorista,industria y deposito
VENTA AL POR MAYOR DE TEJIDOS (TELAS),12,mayorista,industria y deposito
Venta al por mayor de bicicletas y rodados similares,12,mayorista,industria y deposito
Elaboración de alimentos de cereales,12,fabricacion,industria y deposito
FABRICACIÓN DE APARATOS DE DISTRIBUCIÓN Y CONTROL DE LA ENERGÍA ELÉCTRICA,11,fabricacion,industria y deposito
SERVICIOS DE ADMINISTRACIÓN DE CONSORCIOS DE EDIFICIOS,11,otro,otro
"Venta al por mayor de artículos de mercería, medias y artículos de punto",11,mayorista,industria y deposito
Venta al por mayor de vinos sin fraccionamiento,11,mayorista,industria y deposito
Costurera con superficie menor a 100 m2,11,otro,otro
SERVICIOS DE COMERCIALIZACION DE TIEMPO Y ESPACIO PUBLICITARIO,11,otro,otro
Venta de materiales de rezago y chatarra,11,otro,otro
FABRICACIÓN DE EQUIPOS Y PRODUCTOS INFORMÁTICOS,11,fabricacion,industria y deposito
"Operaciones de préstamos y demás operaciones detalladas en el artículo 269 bis) incisos 1, 2 y 3, efectuadas por asociaciones profesionales, Entidades Mutuales, gremiales o sindicales.",11,cobranzas,servicios profesionales
Aseguradora de riesgo de trabajo (A.R.T.),11,otro,otro
"Publicidad realizada por medio de carteles, pantallas y paneles luminosos, iluminados, electrónicos, mecánicos y similares. Con una superficie de mas de 25 metros cuadrados por cartel. La cantidad de metros a declarar en este subrubro, se refiere a la sum",11,otro,otro
"VENTA AL POR MAYOR DE COMBUSTIBLES, LUBRICANTES, LEÑA Y CARBÓN, EXCEPTO GAS LICUADO Y COMBUSTIBLES Y LUBRICANTES PARA AUTOMOTORES",11,mayorista,industria y deposito
Venta al por mayor en comisión o consignación de bebidas alcohólicas,11,mayorista,industria y deposito
Elaboración de alimentos preparados para animales,11,fabricacion,industria y deposito
"Venta al por mayor de aberturas (puertas, ventanas, armazones)",11,mayorista,industria y deposito
"Acabado de textiles (incluye blanqueo, teñido y estampado)",11,merceria,indumentaria
INSTALACIÓN Y REPARACIÓN DE CAÑOS DE ESCAPE Y RADIADORES,11,otro,otro
"Pintura, empapelado y trabajos de decoración",11,articulos_hogar,hogar y construccion
OPERACIONES DE INTERMEDIACIÓN DE CARNE EXCEPTO CONSIGNATARIO DIRECTO,11,otro,otro
"EDICIÓN DE LIBROS, FOLLETOS, Y OTRAS PUBLICACIONES",11,libreria,comercio general
"Venta al por mayor de artículos y objetos de barro, loza y porcelana",11,mayorista,industria y deposito
"SERVICIOS DE CONTABILIDIDAD, AUDITORÍA Y ASESORÍA FISCAL",11,otro,otro
Reparación de muebles metálicos (carpintería),11,muebleria,hogar y construccion
VENTA AL POR MAYOR DE COMBUSTIBLES N.C.P  Y LUBRICANTES PARA AUTOMOTORES,11,mayorista,industria y deposito
VENTA AL POR MAYOR DE PESCADO,11,mayorista,industria y deposito
"SERVICIOS DE ASESORAMIENTO, DIRECCIÓN Y GESTIÓN EMPRESARIAL REALIZADOS POR INTEGRANTES DE LOS ÓRGANOS DE ADMINISTRACIÓN Y/O FISCALIZACIÓN EN SOCIEDADES ANÓNIMAS",11,otro,otro
"INSTALACIONES DE CARPINTERÍA, HERRERÍA DE OBRA Y ARTÍSTICA",11,otro,otro
Escuela de conductores,11,otro,otro
Fabricación de premoldeados para la construcción (incluye viviendas premoldeadas),11,fabricacion,industria y deposito
Fabricación y reparación de accesorios de máquinas y equipos n.c.p. (excepto los eléctricos),11,fabricacion,industria y deposito
"Matanza, preparación, elaboración y conservación de carnes de aves",10,carniceria,alimentos
VENTA POR MAYOR DE MEDICAMENTOS Y ACCESORIOS PARA ANIMALES,10,mayorista,industria y deposito
Venta al por mayor en comisión o consignación de productos medicinales,10,mayorista,industria y deposito
Venta al por mayor de aparatos fotográficos e instrumentos de óptica,10,mayorista,industria y deposito
REPARACIÓN Y MANTENIMIENTO DE MAQUINARIA Y APARATOS ELÉCTRICOS,10,otro,otro
SERVICIOS DE LIMPIEZA DE PRENDAS PRESTADO POR TINTORERÍAS RÁPIDAS,10,lavanderia,servicios personales
Fabricación de partes o accesorios del calzado,10,fabricacion,industria y deposito
VENTA AL POR MAYOR DE PRODUCTOS VETERINARIOS,10,mayorista,industria y deposito
SERVICIOS AUXILIARES A LA INTERMEDIACIÓN FINANCIERA N.C.P.,10,cobranzas,servicios profesionales
VENTA AL POR MAYOR DE CALZADO EXCEPTO EL ORTOPÉDICO,10,mayorista,industria y deposito
SERVICIOS DE SISTEMAS DE SEGURIDAD,10,otro,otro
Fabricación de artículos de papel y cartón n.c.p.,10,fabricacion,industria y deposito
"REPARACIÓN DE AUTOMOTORES Y MOTOCICLETAS (MOTORES Y MECÁNICA INTEGRAL; INCLUIDOS CARBURADOR, RADIADOR,  Y SERVICIO DE AUXILIO Y REMOLQUE DE AUTOMOTORES). INCLUYE INSTALACIÓN DE EQUIPOS DE G.N.C.",10,taller_mecanico,automotor
VENTA AL POR MAYOR DE COMPONENTES ELECTRÓNICOS,10,mayorista,industria y deposito
"Fabricación y reparación de motores eléctricos, transformadores y generadores",10,fabricacion,industria y deposito
SERVICIOS DE PRÁCTICAS DE DIAGNÓSTICO POR IMÁGENES,10,otro,otro
VENTA AL POR MAYOR DE JUGUETES,10,mayorista,industria y deposito
ALQUILER DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS N.C.P.,10,otro,otro
SERVICIOS DE HOSPEDAJE TEMPORAL N.C.P.,10,turismo,servicios profesionales
"Construcción o reparación de calles, puentes, aeropuertos, centrales hidroeléctricas y/u obras pesadas similares",10,otro,otro
VENTA AL POR MAYOR DE ARTÍCULOS DE MERCERÍA,10,mayorista,industria y deposito
"SERVICIOS DE ASESORAMIENTO, DIRECCIÓN Y GESTIÓN EMPRESARIAL REALIZADOS POR INTEGRANTES DE CUERPOS DE DIRECCIÓN EN SOCIEDADES EXCEPTO LAS ANÓNIMAS",10,otro,otro
SERVICIOS DE SEGUROS DE VIDA,10,seguros,servicios profesionales
"Colocación de carpintería y herrería de obra, vidrios y cerramientos",10,otro,otro
"CONFECCIÓN DE ROPA DE TRABAJO, UNIFORMES Y GUARDAPOLVOS",10,ropa,indumentaria
Fabricación y reparación de maquinaria y equipo para uso vial,10,fabricacion,industria y deposito
Fabricación de pastas secas,10,fabricacion,industria y deposito
SERVICIOS DE SINDICATOS,10,otro,otro
Distribución y venta al por mayor de productos de caucho,10,mayorista,industria y deposito
SERVICIOS DE TELEFONÍA MÓVIL,10,tecnologia,comercio general
Servicios de guardería de animales (excepto caballerizas y studs),10,educacion,educacion
Fabricación de artefactos eléctricos para la iluminación,10,fabricacion,industria y deposito
