rubronombre,n,nivel2,nivel1
"Elaboración de cacao, chocolate, bombones y otros productos similares a base de cacao",7,fabricacion,industria y deposito
"Frigoríficos, matanza de ganado, preparación y conservación de sus carnes",7,carniceria,alimentos
Alquiler y arrendamiento de máquinas para salones de entretenimientos,7,otro,otro
"Fabricación de productos de piedra, mármol y granito (incluye corte y tallado)",7,fabricacion,industria y deposito
"ALQUILER DE MAQUINARIA Y EQUIPO DE OFICINA, INCLUSO COMPUTADORAS",7,otro,otro
Refinación y fraccionamiento de azúcar,7,otro,otro
"Elaboración de concentrados: café, te",7,fabricacion,industria y deposito
ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN N.C.P. ,7,otro,otro
ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS N.C.P.,7,fabricacion,industria y deposito
FABRICACIÓN DE PRODUCTOS QUÍMICOS N.C.P.,7,fabricacion,industria y deposito
SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO EN SILOS,7,deposito,industria y deposito
"VENTA AL POR MENOR DE MADERAS Y ARTÍCULOS DE MADERA  Y CORCHO, EXCEPTO MUEBLES",7,muebleria,hogar y construccion
SERVICIOS DE GESTIÓN DE FONDOS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,7,cobranzas,servicios profesionales
"RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS NO PELIGROSOS",7,transporte,servicios profesionales
Servicios de atención domiciliaria programada. (Incluye las actividades llevadas a cabo en establecimientos que ofrecen atención por módulos a domicilio y actividades de agentes sanitarios relacionados con la prevención y educación para la salud).,7,construccion,hogar y construccion
VENTA AL POR MENOR DE OBRAS DE ARTE,7,otro,otro
"Instalación de ascensores, montacargas, escaleras mecánicas,",6,otro,otro
SERVICIOS SOCIALES SIN ALOJAMIENTO,6,turismo,servicios profesionales
CONFECCIÓN DE PRENDAS DEPORTIVAS,6,otro,otro
"FABRICACIÓN DE COSMÉTICOS, PERFUMES Y PRODUCTOS DE HIGIENE Y TOCADOR",6,fabricacion,industria y deposito
Alquiler de equipo de construcción o demolición,6,otro,otro
"VENTA AL POR MENOR DE ORO, MONEDAS, SELLOS Y SIMILARES",6,otro,otro
VENTA AL POR MENOR DE ANTIGÜEDADES,6,usados,comercio general
Impresión de diarios y revistas,6,otro,otro
VENTA AL POR MAYOR DE CRISTALES Y ESPEJOS,6,mayorista,industria y deposito
FABRICACIÓN DE MAQUINARIA Y EQUIPO DE ELEVACIÓN Y MANIPULACIÓN,6,fabricacion,industria y deposito
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS PECUARIOS N.C.P.,6,mayorista,industria y deposito
ENSEÑANZA TERCIARIA,6,educacion,educacion
SERVICIOS RELACIONADOS CON LA IMPRESIÓN,6,otro,otro
SERVICIOS AUXILIARES A LOS SERVICIOS DE SEGUROS N.C.P.,6,seguros,servicios profesionales
Venta al por menor de lanchas y embarcaciones deportivas,6,otro,otro
Venta por mayor de cereales,6,mayorista,industria y deposito
ENSEÑANZA SECUNDARIA DE FORMACIÓN GENERAL,6,educacion,educacion
FUNDICIÓN DE METALES NO FERROSOS,6,otro,otro
Elaboración de aceites y grasas vegetales y subproductos,6,fabricacion,industria y deposito
"INSTALACIONES DE ASCENSORES, MONTACARGAS Y ESCALERAS MECÁNICAS",6,otro,otro
FABRICACIÓN DE LÁMPARAS ELÉCTRICAS Y EQUIPO DE ILUMINACIÓN,6,fabricacion,industria y deposito
ACABADO DE PRODUCTOS TEXTILES,6,merceria,indumentaria
COLOCACIÓN DE CRISTALES EN OBRA,6,otro,otro
"Fraccionamiento, distribución y venta al por mayor de encurtidos",6,mayorista,industria y deposito
FABRICACIÓN DE MÁQUINAS HERRAMIENTA,6,fabricacion,industria y deposito
"Fraccionamiento, distribución y venta al por mayor de aditivos y lubricantes",6,mayorista,industria y deposito
ARRENDAMIENTO Y GESTIÓN DE BIENES INTANGIBLES NO FINANCIEROS,6,otro,otro
"SERVICIOS DE ATENCIÓN A PERSONAS CON PROBLEMAS DE SALUD MENTAL O DE ADICCIONES, CON ALOJAMIENTO",6,turismo,servicios profesionales
"Venta al por mayor de papeles para pared, revestimiento para pisos de goma, plástico y textiles, y artículos similares para la decoración",6,mayorista,industria y deposito
"fabricación de cerraduras, llaves, herrajes y otros artículos de ferretería incluyendo clavos y bulones",6,fabricacion,industria y deposito
